Q2,W,A1,dA1(stat),dA1(sys),g1,dg1(stat),dg1(sys),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.14348,1.4598,-0.06838,0.13253,0.03631,0.02473,0.08409,0.02397,0.02266,0.10524,0.03002
0.14359,1.4998,0.08136,0.11835,0.04376,0.10924,0.0891,0.02299,0.11917,0.09691,0.02571
0.14401,1.54,0.12333,0.11628,0.04124,0.1383,0.08813,0.01864,0.15336,0.09774,0.02031
0.14404,1.5801,0.01908,0.11137,0.03462,0.06287,0.08486,0.01423,0.07109,0.0957,0.01582
0.14381,1.6199,-0.03063,0.10719,0.02934,0.01621,0.08228,0.01385,0.01856,0.09385,0.01568
0.14376,1.6598,-0.29932,0.10226,0.02468,-0.22098,0.08373,0.01549,-0.24168,0.09097,0.0167
0.14371,1.6997,-0.20444,0.09287,0.02586,-0.1759,0.08797,0.02297,-0.16991,0.08373,0.02211
0.14361,1.7393,0.05562,0.10097,0.02768,0.05681,0.09965,0.02818,0.05253,0.09207,0.0261
0.14296,1.7772,-0.20032,0.12617,0.02048,-0.1935,0.1288,0.02512,-0.17366,0.11621,0.02287
0.14327,1.8201,-0.01377,0.13408,0.01594,-0.0059,0.14481,0.02536,-0.00225,0.1246,0.02159
0.14302,1.8598,-0.39552,0.13393,0.02133,-0.44271,0.15328,0.03048,-0.36283,0.12539,0.02484
0.143,1.8999,-0.28896,0.14086,0.02666,-0.34756,0.17037,0.03629,-0.27004,0.13274,0.02793
0.14296,1.9398,-0.52018,0.15412,0.03085,-0.66191,0.19591,0.04134,-0.49479,0.14607,0.03058
0.143,1.9799,0.07777,0.15239,0.02682,0.0978,0.2027,0.03621,0.06882,0.14516,0.0262
0.1433,2.0202,-0.02328,0.11809,0.01845,-0.03865,0.16402,0.02634,-0.02866,0.11298,0.0183
0.14155,2.0442,-0.18385,0.27776,0.2022,-0.27096,0.39597,0.30502,-0.18255,0.26653,0.19479
0.1502,2.2232,-0.52931,0.5426,0.20258,-0.89477,0.91708,0.33182,-0.51806,0.5269,0.19623
0.14886,2.2617,0.20977,0.36556,0.04505,0.35709,0.63965,0.07814,0.20006,0.35586,0.04385
0.14739,2.3016,-0.43655,0.28716,0.03854,-0.79189,0.52005,0.06923,-0.42947,0.28018,0.03763
0.14659,2.3424,0.08609,0.20019,0.03158,0.15778,0.37494,0.059,0.08084,0.19571,0.03092
0.14483,2.3806,-0.33821,0.15774,0.02608,-0.65859,0.30458,0.05084,-0.33441,0.1545,0.02558
0.14429,2.4207,0.01354,0.14382,0.02099,0.01563,0.28623,0.04161,0.01021,0.14109,0.02064
0.14331,2.4597,0.0553,0.13747,0.01659,0.10926,0.28136,0.03403,0.05164,0.13506,0.0164
0.14352,2.5008,0.01446,0.13644,0.01726,0.02203,0.28657,0.03635,0.01161,0.13421,0.01708
0.1431,2.5404,0.06708,0.12737,0.01995,0.13879,0.2732,0.043,0.06368,0.12544,0.01974
0.14294,2.5798,0.07829,0.13134,0.02049,0.16541,0.28666,0.04485,0.07492,0.12947,0.02027
