Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
5.0,0.101,,0.33,0.025,0.013,0.0282,,,,,,,,
5.0,0.113,,0.296,0.022,0.011,0.0246,,,,,,,,
5.0,0.128,,0.281,0.021,0.01,0.0233,,,,,,,,
5.0,0.144,,0.252,0.019,0.009,0.021,,,,,,,,
5.0,0.162,,0.263,0.018,0.009,0.0201,,,,,,,,
5.0,0.182,,0.248,0.017,0.009,0.0192,,,,,,,,
5.0,0.205,,0.236,0.014,0.009,0.0166,,,,,,,,
5.0,0.23,,0.208,0.014,0.008,0.0161,,,,,,,,
5.0,0.259,,0.242,0.014,0.008,0.0161,,,,,,,,
5.0,0.292,,0.192,0.014,0.007,0.0157,,,,,,,,
5.0,0.329,,0.169,0.014,0.006,0.0152,,,,,,,,
5.0,0.37,,0.146,0.013,0.005,0.0139,,,,,,,,
5.0,0.416,,0.151,0.012,0.005,0.013,,,,,,,,
5.0,0.468,,0.118,0.011,0.004,0.0117,,,,,,,,
5.0,0.526,,0.095,0.012,0.003,0.0124,,,,,,,,
5.0,0.592,,0.059,0.011,0.002,0.0112,,,,,,,,
5.0,0.666,,0.03,0.01,0.001,0.01,,,,,,,,
5.0,0.749,,0.026,0.008,0.001,0.0081,,,,,,,,
